CIF,COD_ENTE1,COD_ENTE2,COD_ENTE3,COD_ENTE4,COD_ENTE5,COD_ENTE6,Entidad Local,Cif dependiente,COD_ENTE1_DEP,COD_ENTE2_DEP,COD_ENTE3_DEP,COD_ENTE4_DEP,COD_ENTE5_DEP,COD_ENTE6_DEP,DEPENDIENTE,SECTORIZACION,     Fecha sectorización,Participación mayoritaria
P2908200E,01,29,082,A,A,000,Rincón de la Victoria                                                 ,P7908201B,01,29,082,A,V,001,P. M. Deportes                                                        ,AAPP,30/11/2007,
P2908200E,01,29,082,A,A,000,Rincón de la Victoria                                                 ,P7908202J,01,29,082,A,V,002,P. Cueva del Tesoro                                                   ,AAPP,30/11/2007,
P2908200E,01,29,082,A,A,000,Rincón de la Victoria                                                 ,P2900015E,01,29,082,A,V,003,O. Aut. L. Socio-Cultural Delphos                                     ,AAPP,30/11/2007,
P2908300C,01,29,083,A,A,000,Riogordo                                                              ,V29539319,01,00,046,N,N,000,Asoc. Centro Desarrollo Rural de la Axarquia (Ceder Axarquia)         , ,01/07/2014,
P2908400A,01,29,084,A,A,000,Ronda                                                                 ,G29550803,01,00,041,N,N,000,Asoc. Centro de Desarrollo Rural Serranía de Ronda CEDER              , ,,
P2908400A,01,29,084,A,A,000,Ronda                                                                 ,P2900048F,01,00,221,C,C,000,C. Maquinaria y Caminos Rurales Ronda-Guadalhorce-Antequera           , ,01/07/2014,
P2908400A,01,29,084,A,A,000,Ronda                                                                 ,A29121993,01,29,084,A,P,001,S. Limpieza y Aseo de Ronda (SOLIARSA)                                , ,,S
P2908400A,01,29,084,A,A,000,Ronda                                                                 ,A29620119,01,29,084,A,P,002,"E. M. Radio, S.A. (SOMU)                                              ", ,,S
P2908400A,01,29,084,A,A,000,Ronda                                                                 ,A92121466,01,29,084,A,P,003,"Turismo de Ronda, S.A                                                 ", ,,S
P2908400A,01,29,084,A,A,000,Ronda                                                                 ,P7908401H,01,29,084,A,O,001,"Agencia Pública Local Sociocultural, de Educación y Empleo            ",AAPP,30/11/2007,
P2908400A,01,29,084,A,A,000,Ronda                                                                 ,B92905827,01,29,084,A,P,004,"Ronda Palacios de Congresos, S.L.                                     ", ,,S
P2908500H,01,29,085,A,A,000,Salares                                                               ,V29539319,01,00,046,N,N,000,Asoc. Centro Desarrollo Rural de la Axarquia (Ceder Axarquia)         , ,01/07/2014,
P2908500H,01,29,085,A,A,000,Salares                                                               ,P2900056I,01,00,222,C,C,000,C. Desar. Local y Urbanistico Parque Natural Sierra Tejeda y Almijara , ,01/07/2014,
P2908600F,01,29,086,A,A,000,Sayalonga                                                             ,V29539319,01,00,046,N,N,000,Asoc. Centro Desarrollo Rural de la Axarquia (Ceder Axarquia)         , ,01/07/2014,
P2908600F,01,29,086,A,A,000,Sayalonga                                                             ,P2900049D,01,00,216,C,C,000,C. Creación Parque Maquinaria Caminos Rurales Zona de la Axarquia     , ,01/07/2014,
P2908600F,01,29,086,A,A,000,Sayalonga                                                             ,P2900056I,01,00,222,C,C,000,C. Desar. Local y Urbanistico Parque Natural Sierra Tejeda y Almijara , ,01/07/2014,
P2908700D,01,29,087,A,A,000,Sedella                                                               ,V29539319,01,00,046,N,N,000,Asoc. Centro Desarrollo Rural de la Axarquia (Ceder Axarquia)         , ,01/07/2014,
P2908700D,01,29,087,A,A,000,Sedella                                                               ,P2900056I,01,00,222,C,C,000,C. Desar. Local y Urbanistico Parque Natural Sierra Tejeda y Almijara , ,01/07/2014,
P2908800B,01,29,088,A,A,000,Sierra de Yeguas                                                      ,G29793932,01,00,043,N,N,000,Grupo Acción Local Guadalteba                                         , ,01/07/2014,
P2908800B,01,29,088,A,A,000,Sierra de Yeguas                                                      ,P7901001C,01,00,191,C,C,000,C. Guadalteba                                                         , ,01/07/2014,
P2908800B,01,29,088,A,A,000,Sierra de Yeguas                                                      ,B92178565,01,00,191,C,P,001,"S. Desarrollo del Guadalteba, S.L.U.                                  ",,,S
P2908900J,01,29,089,A,A,000,Teba                                                                  ,G29793932,01,00,043,N,N,000,Grupo Acción Local Guadalteba                                         , ,01/07/2014,
P2908900J,01,29,089,A,A,000,Teba                                                                  ,P7901001C,01,00,191,C,C,000,C. Guadalteba                                                         , ,01/07/2014,
P2908900J,01,29,089,A,A,000,Teba                                                                  ,B92178565,01,00,191,C,P,001,"S. Desarrollo del Guadalteba, S.L.U.                                  ",,,S
P2909000H,01,29,090,A,A,000,Tolox                                                                 ,G92187004,01,00,042,N,N,000,Grupo Desarrollo Rural Sierra de las Nieves                           , ,,
P2909000H,01,29,090,A,A,000,Tolox                                                                 ,B92861137,01,00,210,C,C,000,C. Unidad Territ. Emp. y Desar. Local y Tecn. Alozaina y Otros        , ,,
P2909100F,01,29,091,A,A,000,Torrox                                                                ,B92613314,01,00,000,F,P,166,"Calaceite Golf, S.L.                                                  ", ,,S
